stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
sft,1,2,3050,56608,3050,1.8216,1.8216,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3100,56608,3100,1.7286,1.7286,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3150,56608,3150,1.6864,1.6864,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3200,56608,3200,1.991,1.991,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3250,56608,3250,1.9627,1.9627,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3300,56608,3300,1.9563,1.9563,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3350,56608,3350,1.9822,1.9822,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3400,56608,3400,1.6709,1.6709,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3450,56608,3450,1.8373,1.8373,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3500,56608,3500,1.802,1.802,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3550,56608,3550,1.3746,1.3746,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3600,56608,3600,1.7595,1.7595,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3650,56608,3650,2.2734,2.2734,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3700,56608,3700,1.7516,1.7516,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3750,56608,3750,1.9722,1.9722,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3800,56608,3800,1.9156,1.9156,0.0,9.98e-06,experiments/logs/full_sft_mini.log
sft,1,2,3850,56608,3850,1.8003,1.8003,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,3900,56608,3900,1.0649,1.0649,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,3950,56608,3950,1.9349,1.9349,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4000,56608,4000,1.4818,1.4818,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4050,56608,4050,1.7262,1.7262,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4100,56608,4100,1.8441,1.8441,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4150,56608,4150,1.8857,1.8857,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4200,56608,4200,1.9687,1.9687,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4250,56608,4250,1.4866,1.4866,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4300,56608,4300,1.7549,1.7549,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4350,56608,4350,1.6891,1.6891,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4400,56608,4400,1.6385,1.6385,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4450,56608,4450,1.4212,1.4212,0.0,9.97e-06,experiments/logs/full_sft_mini.log
sft,1,2,4500,56608,4500,2.0707,2.0707,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,4550,56608,4550,1.8315,1.8315,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,4600,56608,4600,1.5282,1.5282,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,4650,56608,4650,1.4528,1.4528,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,4700,56608,4700,1.7694,1.7694,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,4750,56608,4750,1.6616,1.6616,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,4800,56608,4800,1.6712,1.6712,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,4850,56608,4850,1.6037,1.6037,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,4900,56608,4900,1.9088,1.9088,0.0,9.96e-06,experiments/logs/full_sft_mini.log
sft,1,2,4950,56608,4950,1.7637,1.7637,0.0,9.96e-06,experiments/logs/full_sft_mini.log
