stage,epoch,epochs,step,iters,global_step,loss,logits_loss,aux_loss,lr,source_log
pretrain,1,2,2950,39695,2950,3.4413,3.4413,0.0,0.00049847,experiments/logs/pretrain_mini.log
pretrain,1,2,3000,39695,3000,2.8066,2.8066,0.0,0.00049842,experiments/logs/pretrain_mini.log
pretrain,1,2,3050,39695,3050,3.864,3.864,0.0,0.00049836,experiments/logs/pretrain_mini.log
pretrain,1,2,3100,39695,3100,3.1027,3.1027,0.0,0.00049831,experiments/logs/pretrain_mini.log
pretrain,1,2,3150,39695,3150,3.0723,3.0723,0.0,0.00049825,experiments/logs/pretrain_mini.log
pretrain,1,2,3200,39695,3200,3.5156,3.5156,0.0,0.0004982,experiments/logs/pretrain_mini.log
pretrain,1,2,3250,39695,3250,2.8318,2.8318,0.0,0.00049814,experiments/logs/pretrain_mini.log
pretrain,1,2,3300,39695,3300,3.3698,3.3698,0.0,0.00049808,experiments/logs/pretrain_mini.log
pretrain,1,2,3350,39695,3350,3.335,3.335,0.0,0.00049803,experiments/logs/pretrain_mini.log
pretrain,1,2,3400,39695,3400,3.6161,3.6161,0.0,0.00049797,experiments/logs/pretrain_mini.log
pretrain,1,2,3450,39695,3450,2.6439,2.6439,0.0,0.00049791,experiments/logs/pretrain_mini.log
pretrain,1,2,3500,39695,3500,3.1176,3.1176,0.0,0.00049785,experiments/logs/pretrain_mini.log
pretrain,1,2,3550,39695,3550,3.0583,3.0583,0.0,0.00049778,experiments/logs/pretrain_mini.log
pretrain,1,2,3600,39695,3600,3.2118,3.2118,0.0,0.00049772,experiments/logs/pretrain_mini.log
pretrain,1,2,3650,39695,3650,2.4251,2.4251,0.0,0.00049766,experiments/logs/pretrain_mini.log
pretrain,1,2,3700,39695,3700,2.8982,2.8982,0.0,0.00049759,experiments/logs/pretrain_mini.log
pretrain,1,2,3750,39695,3750,3.2126,3.2126,0.0,0.00049753,experiments/logs/pretrain_mini.log
pretrain,1,2,3800,39695,3800,3.1939,3.1939,0.0,0.00049746,experiments/logs/pretrain_mini.log
pretrain,1,2,3850,39695,3850,2.917,2.917,0.0,0.00049739,experiments/logs/pretrain_mini.log
pretrain,1,2,3900,39695,3900,2.9009,2.9009,0.0,0.00049733,experiments/logs/pretrain_mini.log
pretrain,1,2,3950,39695,3950,2.832,2.832,0.0,0.00049726,experiments/logs/pretrain_mini.log
pretrain,1,2,4000,39695,4000,2.5561,2.5561,0.0,0.00049719,experiments/logs/pretrain_mini.log
pretrain,1,2,4050,39695,4050,2.8916,2.8916,0.0,0.00049712,experiments/logs/pretrain_mini.log
pretrain,1,2,4100,39695,4100,2.664,2.664,0.0,0.00049705,experiments/logs/pretrain_mini.log
pretrain,1,2,4150,39695,4150,3.1276,3.1276,0.0,0.00049697,experiments/logs/pretrain_mini.log
pretrain,1,2,4200,39695,4200,2.8815,2.8815,0.0,0.0004969,experiments/logs/pretrain_mini.log
pretrain,1,2,4250,39695,4250,3.0629,3.0629,0.0,0.00049683,experiments/logs/pretrain_mini.log
pretrain,1,2,4300,39695,4300,2.7698,2.7698,0.0,0.00049675,experiments/logs/pretrain_mini.log
pretrain,1,2,4350,39695,4350,3.3007,3.3007,0.0,0.00049667,experiments/logs/pretrain_mini.log
pretrain,1,2,4400,39695,4400,2.9039,2.9039,0.0,0.0004966,experiments/logs/pretrain_mini.log
pretrain,1,2,4450,39695,4450,2.995,2.995,0.0,0.00049652,experiments/logs/pretrain_mini.log
